CustomerID,Lookalikes
C0063,"[('C0014', 0.9854), ('C0060', 0.9823), ('C0089', 0.9753)]"
C0064,"[('C0149', 0.9493), ('C0105', 0.843), ('C0127', 0.7964)]"
C0065,"[('C0156', 0.9994), ('C0068', 0.9257), ('C0059', 0.9201)]"
C0066,"[('C0089', 0.9194), ('C0070', 0.8989), ('C0061', 0.8703)]"
C0067,"[('C0194', 0.9681), ('C0024', 0.9597), ('C0154', 0.9512)]"
C0068,"[('C0156', 0.9259), ('C0065', 0.9257), ('C0099', 0.7949)]"
C0069,"[('C0019', 0.9234), ('C0199', 0.9187), ('C0070', 0.9164)]"
C0070,"[('C0069', 0.9164), ('C0073', 0.9063), ('C0066', 0.8989)]"
C0071,"[('C0077', 0.9937), ('C0112', 0.9912), ('C0095', 0.985)]"
C0072,"[('C0038', 0.9934), ('C0160', 0.9928), ('C0125', 0.8922)]"
C0073,"[('C0197', 0.9964), ('C0062', 0.979), ('C0132', 0.9784)]"
C0074,"[('C0044', 0.9942), ('C0167', 0.9701), ('C0135', 0.9493)]"
C0075,"[('C0017', 0.9686), ('C0041', 0.961), ('C0109', 0.9315)]"
C0076,"[('C0174', 0.9631), ('C0031', 0.9313), ('C0025', 0.9009)]"
C0077,"[('C0071', 0.9937), ('C0083', 0.9869), ('C0112', 0.9726)]"
C0078,"[('C0080', 0.9992), ('C0110', 0.9965), ('C0097', 0.994)]"
C0079,"[('C0026', 0.9461), ('C0183', 0.8977), ('C0016', 0.8617)]"
C0080,"[('C0078', 0.9992), ('C0110', 0.999), ('C0097', 0.9926)]"
C0081,"[('C0179', 0.9994), ('C0057', 0.9395), ('C0086', 0.9206)]"
C0082,"[('C0188', 0.9967), ('C0102', 0.9827), ('C0104', 0.9741)]"
C0083,"[('C0077', 0.9869), ('C0071', 0.9834), ('C0095', 0.9731)]"
C0084,"[('C0175', 0.9401), ('C0101', 0.9383), ('C0162', 0.9081)]"
C0085,"[('C0129', 0.9791), ('C0192', 0.9423), ('C0032', 0.9097)]"
C0086,"[('C0164', 0.9498), ('C0111', 0.9389), ('C0081', 0.9206)]"
C0087,"[('C0099', 0.9852), ('C0013', 0.9781), ('C0012', 0.9744)]"
C0088,"[('C0177', 0.9191), ('C0146', 0.9006), ('C0178', 0.9004)]"
C0089,"[('C0063', 0.9753), ('C0014', 0.9325), ('C0073', 0.9278)]"
C0090,"[('C0162', 0.9574), ('C0022', 0.9574), ('C0021', 0.9534)]"
C0091,"[('C0195', 0.8448), ('C0169', 0.755), ('C0165', 0.7361)]"
C0092,"[('C0115', 0.9838), ('C0007', 0.9783), ('C0159', 0.9534)]"
C0093,"[('C0173', 0.9951), ('C0162', 0.9926), ('C0021', 0.992)]"
C0094,"[('C0029', 0.988), ('C0157', 0.947), ('C0036', 0.9366)]"
C0095,"[('C0071', 0.985), ('C0112', 0.9786), ('C0150', 0.9756)]"
C0096,"[('C0148', 0.967), ('C0012', 0.8978), ('C0013', 0.8867)]"
C0097,"[('C0078', 0.994), ('C0128', 0.9933), ('C0080', 0.9926)]"
C0098,"[('C0024', 0.9751), ('C0194', 0.9641), ('C0008', 0.9075)]"
C0099,"[('C0013', 0.9891), ('C0087', 0.9852), ('C0155', 0.9758)]"
C0100,"[('C0057', 0.9754), ('C0051', 0.9651), ('C0170', 0.9634)]"
C0101,"[('C0084', 0.9383), ('C0054', 0.9359), ('C0175', 0.9277)]"
C0102,"[('C0104', 0.9897), ('C0188', 0.9889), ('C0082', 0.9827)]"
C0103,"[('C0119', 0.9485), ('C0172', 0.8857), ('C0121', 0.8716)]"
C0104,"[('C0102', 0.9897), ('C0188', 0.9834), ('C0082', 0.9741)]"
C0105,"[('C0149', 0.9334), ('C0124', 0.9178), ('C0041', 0.8703)]"
C0106,"[('C0056', 0.9799), ('C0027', 0.8944), ('C0088', 0.8718)]"
C0107,"[('C0001', 0.9896), ('C0011', 0.9858), ('C0152', 0.949)]"
C0108,"[('C0155', 0.9891), ('C0013', 0.9611), ('C0099', 0.9398)]"
C0109,"[('C0075', 0.9315), ('C0156', 0.9225), ('C0175', 0.9169)]"
C0110,"[('C0080', 0.999), ('C0078', 0.9965), ('C0097', 0.9903)]"
C0111,"[('C0086', 0.9389), ('C0081', 0.834), ('C0179', 0.8169)]"
C0112,"[('C0071', 0.9912), ('C0052', 0.9792), ('C0095', 0.9786)]"
C0113,"[('C0169', 0.9809), ('C0102', 0.9633), ('C0039', 0.9588)]"
C0114,"[('C0182', 0.9837), ('C0053', 0.9696), ('C0170', 0.9619)]"
C0115,"[('C0007', 0.9866), ('C0092', 0.9838), ('C0159', 0.9549)]"
C0116,"[('C0189', 0.9612), ('C0055', 0.957), ('C0154', 0.9548)]"
C0117,"[('C0055', 0.8833), ('C0189', 0.852), ('C0154', 0.831)]"
C0118,"[('C0184', 0.9956), ('C0048', 0.9335), ('C0181', 0.887)]"
C0119,"[('C0121', 0.9538), ('C0103', 0.9485), ('C0172', 0.8786)]"
C0120,"[('C0133', 0.9428), ('C0052', 0.9339), ('C0112', 0.9055)]"
C0121,"[('C0119', 0.9538), ('C0166', 0.9093), ('C0167', 0.8917)]"
C0122,"[('C0046', 0.9875), ('C0059', 0.9455), ('C0194', 0.9284)]"
C0123,"[('C0140', 0.9953), ('C0186', 0.9826), ('C0005', 0.9813)]"
C0124,"[('C0075', 0.9196), ('C0105', 0.9178), ('C0017', 0.9123)]"
C0125,"[('C0050', 0.9555), ('C0042', 0.9252), ('C0176', 0.9236)]"
C0126,"[('C0108', 0.9261), ('C0155', 0.9019), ('C0187', 0.8963)]"
C0127,"[('C0172', 0.9116), ('C0064', 0.7964), ('C0103', 0.7908)]"
C0128,"[('C0097', 0.9933), ('C0078', 0.9916), ('C0080', 0.9911)]"
C0129,"[('C0085', 0.9791), ('C0192', 0.9459), ('C0031', 0.945)]"
C0130,"[('C0150', 1.0), ('C0151', 0.9946), ('C0095', 0.9754)]"
C0131,"[('C0042', 0.9893), ('C0015', 0.9806), ('C0144', 0.9735)]"
C0132,"[('C0062', 0.9989), ('C0197', 0.9833), ('C0073', 0.9784)]"
C0133,"[('C0052', 0.9586), ('C0191', 0.9461), ('C0120', 0.9428)]"
C0134,"[('C0142', 0.8045), ('C0193', 0.7876), ('C0136', 0.7701)]"
C0135,"[('C0074', 0.9493), ('C0166', 0.941), ('C0044', 0.9338)]"
C0136,"[('C0101', 0.7918), ('C0084', 0.7728), ('C0134', 0.7701)]"
C0137,"[('C0191', 0.9915), ('C0133', 0.9324), ('C0120', 0.8474)]"
C0138,"[('C0028', 0.815), ('C0143', 0.7935), ('C0200', 0.7479)]"
C0139,"[('C0047', 0.9385), ('C0049', 0.8686), ('C0008', 0.8607)]"
C0140,"[('C0123', 0.9953), ('C0005', 0.9846), ('C0186', 0.9804)]"
C0141,"[('C0054', 0.9377), ('C0041', 0.9273), ('C0059', 0.916)]"
C0142,"[('C0002', 0.9906), ('C0159', 0.9448), ('C0186', 0.9297)]"
C0143,"[('C0028', 0.9905), ('C0045', 0.9839), ('C0145', 0.979)]"
C0144,"[('C0015', 0.9746), ('C0131', 0.9735), ('C0033', 0.9651)]"
C0145,"[('C0045', 0.9896), ('C0173', 0.9878), ('C0143', 0.979)]"
C0146,"[('C0178', 0.9945), ('C0177', 0.9941), ('C0043', 0.9329)]"
C0147,"[('C0181', 0.8361), ('C0184', 0.8116), ('C0161', 0.8087)]"
C0148,"[('C0096', 0.967), ('C0012', 0.9584), ('C0087', 0.9168)]"
C0149,"[('C0064', 0.9493), ('C0105', 0.9334), ('C0114', 0.8232)]"
C0150,"[('C0130', 1.0), ('C0151', 0.9948), ('C0095', 0.9756)]"
C0151,"[('C0150', 0.9948), ('C0130', 0.9946), ('C0095', 0.9705)]"
C0152,"[('C0001', 0.9564), ('C0107', 0.949), ('C0174', 0.9251)]"
C0153,"[('C0163', 0.9297), ('C0171', 0.8744), ('C0012', 0.7933)]"
C0154,"[('C0116', 0.9548), ('C0067', 0.9512), ('C0194', 0.9327)]"
C0155,"[('C0013', 0.9913), ('C0108', 0.9891), ('C0099', 0.9758)]"
C0156,"[('C0065', 0.9994), ('C0068', 0.9259), ('C0109', 0.9225)]"
C0157,"[('C0029', 0.9482), ('C0094', 0.947), ('C0030', 0.9066)]"
C0158,"[('C0152', 0.9072), ('C0006', 0.896), ('C0085', 0.8839)]"
C0159,"[('C0005', 0.9974), ('C0186', 0.9956), ('C0007', 0.9905)]"
C0160,"[('C0072', 0.9928), ('C0038', 0.9893), ('C0125', 0.8483)]"
C0161,"[('C0090', 0.9317), ('C0162', 0.8545), ('C0021', 0.846)]"
C0162,"[('C0093', 0.9926), ('C0173', 0.9818), ('C0021', 0.9729)]"
C0163,"[('C0153', 0.9297), ('C0148', 0.857), ('C0171', 0.8452)]"
C0164,"[('C0086', 0.9498), ('C0081', 0.8722), ('C0179', 0.8664)]"
C0165,"[('C0087', 0.9339), ('C0012', 0.9247), ('C0148', 0.8934)]"
C0166,"[('C0135', 0.941), ('C0167', 0.9305), ('C0121', 0.9093)]"
C0167,"[('C0074', 0.9701), ('C0044', 0.949), ('C0166', 0.9305)]"
C0168,"[('C0171', 0.8724), ('C0163', 0.7888), ('C0137', 0.7696)]"
C0169,"[('C0039', 0.9889), ('C0113', 0.9809), ('C0102', 0.9435)]"
C0170,"[('C0182', 0.9862), ('C0100', 0.9634), ('C0114', 0.9619)]"
C0171,"[('C0153', 0.8744), ('C0168', 0.8724), ('C0163', 0.8452)]"
C0172,"[('C0127', 0.9116), ('C0103', 0.8857), ('C0119', 0.8786)]"
C0173,"[('C0093', 0.9951), ('C0145', 0.9878), ('C0021', 0.9847)]"
C0174,"[('C0001', 0.9717), ('C0076', 0.9631), ('C0107', 0.9277)]"
C0175,"[('C0173', 0.9714), ('C0162', 0.9674), ('C0093', 0.9648)]"
C0176,"[('C0144', 0.9343), ('C0125', 0.9236), ('C0131', 0.9139)]"
C0177,"[('C0178', 0.9971), ('C0146', 0.9941), ('C0027', 0.9341)]"
C0178,"[('C0177', 0.9971), ('C0146', 0.9945), ('C0027', 0.9274)]"
C0179,"[('C0081', 0.9994), ('C0057', 0.9494), ('C0100', 0.9196)]"
C0181,"[('C0190', 0.9487), ('C0039', 0.9341), ('C0184', 0.9263)]"
C0182,"[('C0170', 0.9862), ('C0114', 0.9837), ('C0053', 0.9706)]"
C0183,"[('C0016', 0.9582), ('C0079', 0.8977), ('C0026', 0.8924)]"
C0184,"[('C0118', 0.9956), ('C0048', 0.9435), ('C0181', 0.9263)]"
C0185,"[('C0026', 0.9013), ('C0035', 0.8899), ('C0036', 0.8771)]"
C0186,"[('C0005', 0.9978), ('C0159', 0.9956), ('C0123', 0.9826)]"
C0187,"[('C0006', 0.8985), ('C0126', 0.8963), ('C0107', 0.889)]"
C0188,"[('C0082', 0.9967), ('C0102', 0.9889), ('C0104', 0.9834)]"
C0189,"[('C0055', 0.993), ('C0116', 0.9612), ('C0154', 0.901)]"
C0190,"[('C0181', 0.9487), ('C0048', 0.936), ('C0184', 0.907)]"
C0191,"[('C0137', 0.9915), ('C0133', 0.9461), ('C0120', 0.8625)]"
C0192,"[('C0025', 0.9907), ('C0031', 0.9786), ('C0032', 0.9572)]"
C0193,"[('C0142', 0.8849), ('C0092', 0.8649), ('C0002', 0.8419)]"
C0194,"[('C0024', 0.9976), ('C0067', 0.9681), ('C0098', 0.9641)]"
C0195,"[('C0012', 0.931), ('C0108', 0.9261), ('C0155', 0.9063)]"
C0196,"[('C0064', 0.7306), ('C0149', 0.7159), ('C0044', 0.6996)]"
C0197,"[('C0073', 0.9964), ('C0062', 0.9848), ('C0132', 0.9833)]"
C0198,"[('C0009', 0.9875), ('C0061', 0.9738), ('C0060', 0.9717)]"
C0199,"[('C0197', 0.9714), ('C0073', 0.9624), ('C0010', 0.9566)]"
C0200,"[('C0022', 0.9615), ('C0143', 0.9119), ('C0145', 0.8816)]"
